semantic_field,concepticon_id1,concepticon_gloss1,concepticon_id2,concepticon_gloss2,evidence
Agriculture and vegetation,212,field,1901,shovel,3
Agriculture and vegetation,212,field,1915,fir,18
Agriculture and vegetation,212,field,1921,plough,7
Agriculture and vegetation,212,field,1927,bamboo,7
Agriculture and vegetation,212,field,1950,beech,25
Agriculture and vegetation,212,field,2002,ditch,2
Agriculture and vegetation,212,field,2132,sickle or scythe,5
Agriculture and vegetation,212,field,223,threshing-floor,11
Agriculture and vegetation,212,field,23,rye,18
Agriculture and vegetation,212,field,284,hoe,4
Agriculture and vegetation,212,field,285,thresh,5
Agriculture and vegetation,212,field,286,needle tree,12
Agriculture and vegetation,212,field,287,cone,13
Agriculture and vegetation,212,field,33,nettle,10
Agriculture and vegetation,212,field,337,pitchfork,9
Agriculture and vegetation,212,field,338,rake,4
Agriculture and vegetation,212,field,340,lasso,17
Agriculture and vegetation,212,field,342,hay,4
Agriculture and vegetation,212,field,343,vine,6
Agriculture and vegetation,212,field,345,sap,1
Agriculture and vegetation,212,field,346,banyan,24
Agriculture and vegetation,212,field,3541,harvest or harvest season,6
Agriculture and vegetation,212,field,410,yam,19
Agriculture and vegetation,212,field,411,gourd,9
Agriculture and vegetation,212,field,506,maize,3
Agriculture and vegetation,212,field,586,garden,6
Agriculture and vegetation,212,field,60,oat,15
Agriculture and vegetation,212,field,605,grain,8
Agriculture and vegetation,212,field,606,grass,1
Agriculture and vegetation,212,field,644,oak,15
Agriculture and vegetation,212,field,653,plant,6
Agriculture and vegetation,212,field,748,sow seeds,2
Agriculture and vegetation,212,field,864,pumpkin,3
Agriculture and vegetation,212,field,868,banana,5
Agriculture and vegetation,212,field,925,cassava,14
Agriculture and vegetation,212,field,926,rice,3
Agriculture and vegetation,212,field,931,millet,10
Agriculture and vegetation,212,field,932,barley,11
Agriculture and vegetation,212,field,968,acorn,19
Agriculture and vegetation,212,field,970,coconut,10
Agriculture and vegetation,212,field,974,tobacco,1
Agriculture and vegetation,2132,sickle or scythe,116,larch,18
Agriculture and vegetation,2132,sickle or scythe,1855,birch,14
Agriculture and vegetation,2132,sickle or scythe,1915,fir,12
Agriculture and vegetation,2132,sickle or scythe,1950,beech,19
Agriculture and vegetation,2132,sickle or scythe,223,threshing-floor,6
Agriculture and vegetation,2132,sickle or scythe,23,rye,12
Agriculture and vegetation,2132,sickle or scythe,340,lasso,12
Agriculture and vegetation,2132,sickle or scythe,60,oat,9
Agriculture and vegetation,2132,sickle or scythe,644,oak,10
Agriculture and vegetation,2132,sickle or scythe,968,acorn,14
Agriculture and vegetation,23,rye,116,larch,5
Agriculture and vegetation,284,hoe,1950,beech,22
Agriculture and vegetation,284,hoe,223,threshing-floor,8
Agriculture and vegetation,284,hoe,346,banyan,20
Agriculture and vegetation,284,hoe,60,oat,12
Agriculture and vegetation,284,hoe,644,oak,13
Agriculture and vegetation,284,hoe,968,acorn,16
Agriculture and vegetation,285,thresh,223,threshing-floor,5
Agriculture and vegetation,285,thresh,931,millet,5
Agriculture and vegetation,33,nettle,116,larch,13
Agriculture and vegetation,338,rake,116,larch,20
Agriculture and vegetation,338,rake,286,needle tree,9
Agriculture and vegetation,338,rake,287,cone,9
Agriculture and vegetation,338,rake,346,banyan,19
Agriculture and vegetation,338,rake,410,yam,14
Agriculture and vegetation,338,rake,968,acorn,15
Agriculture and vegetation,342,hay,116,larch,19
Agriculture and vegetation,342,hay,1950,beech,20
Agriculture and vegetation,342,hay,340,lasso,13
Agriculture and vegetation,342,hay,968,acorn,15
Agriculture and vegetation,343,vine,346,banyan,17
Agriculture and vegetation,345,sap,116,larch,24
Agriculture and vegetation,345,sap,140,paddy field,22
Agriculture and vegetation,345,sap,1927,bamboo,6
Agriculture and vegetation,345,sap,287,cone,13
Agriculture and vegetation,345,sap,340,lasso,17
Agriculture and vegetation,345,sap,410,yam,17
Agriculture and vegetation,345,sap,925,cassava,12
Agriculture and vegetation,345,sap,970,coconut,9
Agriculture and vegetation,3541,harvest or harvest season,1950,beech,19
Agriculture and vegetation,3541,harvest or harvest season,60,oat,9
Agriculture and vegetation,506,maize,140,paddy field,20
Agriculture and vegetation,506,maize,346,banyan,21
Agriculture and vegetation,506,maize,411,gourd,6
Agriculture and vegetation,506,maize,925,cassava,11
Agriculture and vegetation,506,maize,926,rice,1
Agriculture and vegetation,506,maize,970,coconut,7
Agriculture and vegetation,586,garden,116,larch,20
Agriculture and vegetation,586,garden,23,rye,13
Agriculture and vegetation,586,garden,286,needle tree,9
Agriculture and vegetation,586,garden,346,banyan,17
Agriculture and vegetation,586,garden,60,oat,9
Agriculture and vegetation,605,grain,116,larch,17
Agriculture and vegetation,605,grain,23,rye,11
Agriculture and vegetation,605,grain,60,oat,7
Agriculture and vegetation,606,grass,1124,pipe,3
Agriculture and vegetation,606,grass,116,larch,24
Agriculture and vegetation,606,grass,140,paddy field,22
Agriculture and vegetation,606,grass,1740,pine,10
Agriculture and vegetation,606,grass,1855,birch,20
Agriculture and vegetation,606,grass,1915,fir,18
Agriculture and vegetation,606,grass,1950,beech,25
Agriculture and vegetation,606,grass,286,needle tree,12
Agriculture and vegetation,606,grass,287,cone,13
Agriculture and vegetation,606,grass,33,nettle,9
Agriculture and vegetation,606,grass,340,lasso,17
Agriculture and vegetation,606,grass,342,hay,4
Agriculture and vegetation,606,grass,346,banyan,23
Agriculture and vegetation,606,grass,644,oak,15
Agriculture and vegetation,606,grass,653,plant,5
Agriculture and vegetation,606,grass,931,millet,10
Agriculture and vegetation,606,grass,968,acorn,19
Agriculture and vegetation,641,mushroom,116,larch,24
Agriculture and vegetation,641,mushroom,140,paddy field,22
Agriculture and vegetation,641,mushroom,286,needle tree,13
Agriculture and vegetation,641,mushroom,287,cone,14
Agriculture and vegetation,641,mushroom,340,lasso,18
Agriculture and vegetation,641,mushroom,931,millet,10
Agriculture and vegetation,644,oak,968,acorn,5
Agriculture and vegetation,653,plant,116,larch,20
Agriculture and vegetation,653,plant,1915,fir,13
Agriculture and vegetation,653,plant,1950,beech,20
Agriculture and vegetation,653,plant,340,lasso,12
Agriculture and vegetation,748,sow seeds,1077,wheat,3
Agriculture and vegetation,748,sow seeds,140,paddy field,20
Agriculture and vegetation,748,sow seeds,1927,bamboo,5
Agriculture and vegetation,748,sow seeds,1950,beech,23
Agriculture and vegetation,748,sow seeds,223,threshing-floor,9
Agriculture and vegetation,748,sow seeds,285,thresh,4
Agriculture and vegetation,748,sow seeds,346,banyan,21
Agriculture and vegetation,748,sow seeds,3541,harvest or harvest season,4
Agriculture and vegetation,748,sow seeds,410,yam,17
Agriculture and vegetation,748,sow seeds,60,oat,13
Agriculture and vegetation,748,sow seeds,605,grain,8
Agriculture and vegetation,748,sow seeds,644,oak,14
Agriculture and vegetation,748,sow seeds,931,millet,9
Agriculture and vegetation,748,sow seeds,932,barley,8
Agriculture and vegetation,748,sow seeds,968,acorn,17
Agriculture and vegetation,864,pumpkin,140,paddy field,20
Agriculture and vegetation,868,banana,140,paddy field,18
Agriculture and vegetation,868,banana,346,banyan,19
Agriculture and vegetation,868,banana,410,yam,14
Agriculture and vegetation,868,banana,411,gourd,4
Agriculture and vegetation,868,banana,925,cassava,9
Agriculture and vegetation,926,rice,140,paddy field,18
Agriculture and vegetation,926,rice,346,banyan,19
Agriculture and vegetation,926,rice,410,yam,15
Agriculture and vegetation,926,rice,925,cassava,9
Agriculture and vegetation,926,rice,970,coconut,5
Agriculture and vegetation,974,tobacco,1124,pipe,3
Agriculture and vegetation,974,tobacco,140,paddy field,22
Agriculture and vegetation,974,tobacco,1927,bamboo,6
Agriculture and vegetation,974,tobacco,340,lasso,17
Agriculture and vegetation,974,tobacco,346,banyan,23
Agriculture and vegetation,974,tobacco,410,yam,18
Agriculture and vegetation,974,tobacco,411,gourd,8
Agriculture and vegetation,974,tobacco,868,banana,4
Agriculture and vegetation,974,tobacco,925,cassava,13
Agriculture and vegetation,974,tobacco,970,coconut,9
Agriculture and vegetation,1204,bark,1077,wheat,6
Agriculture and vegetation,1486,plant,1077,wheat,4
Agriculture and vegetation,606,grass,1077,wheat,5
Agriculture and vegetation,641,mushroom,1077,wheat,6
Agriculture and vegetation,1204,bark,1124,pipe,4
Agriculture and vegetation,641,mushroom,1124,pipe,4
Agriculture and vegetation,286,needle tree,116,larch,9
Agriculture and vegetation,287,cone,116,larch,9
Agriculture and vegetation,1204,bark,1176,spade,4
Agriculture and vegetation,190,mow,1176,spade,1
Agriculture and vegetation,606,grass,1176,spade,3
Agriculture and vegetation,641,mushroom,1176,spade,3
Agriculture and vegetation,1204,bark,1486,plant,1
Agriculture and vegetation,641,mushroom,1486,plant,1
Agriculture and vegetation,1204,bark,1541,cultivate,6
Agriculture and vegetation,1418,dig,1541,cultivate,6
