lemma,zh,ko,id,ms,en,nl,de,da,no,sv,fi,lt,pl,ru,uk,mk,el,ro,it,fr,ca,es,pt
china,0.0013001372395932958,0.00015933425796279779,5.9668742540919694e-05,7.836011159546922e-05,5.090435390234832e-05,3.3952373676872305e-05,5.855483521950275e-05,4.8304229903453016e-05,4.824208325192623e-05,3.9685801724389964e-05,6.0994439267001367e-05,na,2.809648688628611e-05,5.4737719132528254e-05,7.395004419217924e-05,3.995644524248205e-05,3.437408762636201e-05,3.7068466538476916e-05,3.745397538311514e-05,7.37688053981222e-05,3.3289763908177437e-05,6.108536861090135e-05,3.017453298043572e-05
on,na,na,0.0030509447043912995,0.0028364359713859547,0.007982795312319626,na,0.007624246263732948,na,na,na,na,na,na,na,na,na,na,na,na,0.0066070732115986455,na,na,na
tau,na,na,0.0016037892017463625,0.0011679991442408919,7.234842794535008e-07,8.435372342080077e-08,na,4.2786963550844167e-07,na,5.982784179556276e-08,2.51264425404743e-07,na,1.428289093710986e-07,6.22805906691219e-07,na,0.0,7.771082357127809e-07,0.0002377026914443151,9.18381059500691e-07,1.9786000553810155e-07,5.446178144487106e-07,7.584830725485321e-07,1.1089785625288343e-06
got,na,na,0.0009991329442723324,na,0.0014430762134835418,0.00022644757052313965,0.001741592291927867,0.0010893786114589928,0.0011767065102623498,0.001403601053751766,0.00038826635335667916,8.172997247606332e-05,0.0035698249525614183,0.00011224346451701748,na,0.0005833864225766863,na,na,na,na,na,0.001263610813849259,na
beautiful,0.00038409796802491773,0.0001611815317616397,0.0007695447826132512,0.0005459198923578818,0.00034190420078413544,0.0026229368529080894,0.0015208533517108442,0.0002620363725671698,0.00016525118672301877,0.00021964794984544276,0.0002623200601225517,0.0001253318746515151,0.0004278337959561708,0.00044339167179328193,0.00015948884627948665,0.0004853926825685878,0.00010048009487766257,0.000889137299737437,0.0011004800517551649,1.9324327207554586e-05,na,0.00031662820900996987,0.0005292277812179755
good,0.000110752691401266,0.0003628376595934277,0.0008824474033034227,0.0024100902748499255,0.003039545563896815,0.004272284118524152,0.0041969959084363385,0.005562868247972252,0.005595470997941773,0.004791950873843463,0.002396936986148546,0.002658017257293126,0.001827312258234015,0.0017105479561701495,0.0012370138501720473,0.0017136627381370653,0.0018635314528471056,0.0007442667419257717,0.0011111612227732708,0.0036498245921585903,0.0030928845682542277,0.003988928433582517,0.00616634634594594
want,0.00014114933731803516,na,0.0041745630252588055,0.0008036746424144677,0.0017838228394205515,0.0021478566826021394,0.002467877704211875,3.781016410624597e-05,0.0024575304280494265,0.00219015768983803,0.000364207784624175,0.000547005681837486,0.0013577928248713939,0.002010232931715791,0.0013605890209943544,0.0013663318510012995,0.0005027631248983121,0.0007872909980631726,0.0006502137901264893,0.001377814636898365,0.00018285543120115459,0.0022625330203956758,0.002892319251871714
another,na,4.232186986899024e-05,4.796898910152367e-06,na,0.0006492547923815716,na,na,na,na,na,na,na,0.0003812511673712825,0.0003209295770294419,0.00020831079166935829,0.000841429163919196,na,0.00012631332921579015,na,na,na,0.001604103758373763,0.0010307182032731658
big,0.0016379245282436344,na,5.081592910511004e-05,0.0008218808640872874,0.0007568658441074853,6.737753658236462e-05,0.0001246570176208963,0.0007915813451451175,0.0005692023015476922,5.552023718628224e-05,0.0002931627683409839,5.926838650689118e-05,0.00016770154373157991,na,0.00029614439730025544,0.000753703560677322,2.1940355854957514e-05,2.4926934074261154e-05,8.117689973760455e-05,0.0005163321727854708,na,1.653273247989844e-05,0.00011303844278055536
thus,na,na,na,0.00010323527893598839,5.928230185841986e-05,na,9.065202559582166e-05,0.0002495380753194233,0.0001544628727468496,3.619584428631547e-05,0.00016765618785131477,na,na,na,na,na,na,0.0005560269980771537,na,na,na,na,0.0012458213591050667
few,2.006796106231759e-06,5.097924259789117e-05,na,1.233754948524409e-05,0.0006428302519800246,na,0.0001256423657251987,0.0016323001400102045,3.324700533536407e-05,4.044362105380043e-05,0.00023455534111532761,0.00019630293620116822,na,1.0841436153513813e-06,0.000369348630340768,1.1495848770881708e-05,0.00015915176667397754,6.622654071390417e-06,0.00031041279811123355,na,0.00022506331182092966,0.00018866441991522402,0.00015924158451940203
six,0.00011421897558475724,1.2379491577313758e-05,5.3662869108696404e-05,7.035737679422981e-05,8.777311278329872e-05,6.191563299086776e-05,5.696150636999247e-05,4.08728099183064e-05,6.795280784360636e-05,0.00015399686478177854,5.502690916363872e-05,na,2.389323612479378e-05,4.1727995748311675e-05,5.782904929846135e-05,4.72111070881841e-05,5.0123481203474367e-05,2.308730794331937e-05,0.0012196100470169176,5.324082982354416e-05,7.175339705361762e-05,6.71642256995874e-05,6.162568081773603e-05
net,1.785066186801956e-05,na,3.0068366339247766e-05,1.8339600586173647e-05,4.361163236545703e-05,0.0012313113007734286,1.383680316679979e-06,3.920637028527352e-05,1.3129174555903974e-05,na,na,na,na,na,na,na,6.838552474272472e-06,0.0001361553290163287,2.2240793484429777e-05,0.00011446201320379175,5.323639136236146e-05,1.3795597913745041e-05,0.00014130450102547634
neither,na,na,na,na,4.9862536539935275e-05,2.659251130840744e-05,9.205667076578466e-05,0.00012489289465946406,9.577173067523752e-05,9.085854907352798e-05,na,na,0.0004058789521728419,na,na,0.0005576044704788836,0.000896446157110407,0.001740930189016756,na,na,na,0.00023880125026151178,0.0015839824500789754
quite,na,na,na,na,0.0002611778248827138,na,0.0017203548955521575,na,na,na,0.00023493223775343473,0.0002234833427520992,na,na,0.0002883420652520503,3.392949540143727e-05,na,na,na,na,na,na,na
already,0.0010689627482789196,na,0.0021168363897899217,0.001561133491351778,0.00040688755876464884,4.312584109888439e-05,0.003637968095644344,0.0003977836442958481,0.0003559804356979339,0.0005847772683237623,na,0.004906252135266314,0.003938772429596876,0.0028791394390917735,0.002911704106195247,0.0010813910557385714,0.0003818968906371176,0.0005205452090766142,0.0011681407780735962,0.0008066587542450452,na,na,na
about,0.00016222771320307085,na,0.0006956543397804435,0.0006231462831898421,0.002987121893007614,0.0031446224554040315,na,na,na,0.0001497490880142936,0.0006179220381766142,0.0038060119284234195,na,na,0.004215152518954217,na,0.00019767043155747438,0.0014231577702231999,0.0002570668374376282,na,na,0.001300336784072225,0.0010195768372496202
a,na,na,na,na,0.021908015572044116,na,0.018976378878841158,na,na,na,na,na,na,na,na,na,na,na,0.008051885974366667,0.022674064124647054,na,0.018753559923812245,na
pass,2.469902899977549e-06,1.6708177941764225e-05,9.775793984917563e-06,na,0.00024856025904904474,2.735169481919465e-05,2.5702910124994763e-05,2.3532829952964292e-05,1.0516909850982512e-05,2.9335585093757606e-05,6.074317484159662e-05,3.114421583960842e-05,2.5117483919403196e-05,0.00038849248446272264,1.9505830120512754e-06,0.000174669935208057,0.0003621324378421559,0.0001912291363113983,0.00020262281245375028,0.0009454245714624337,8.850039484791547e-07,0.0013517927154142492,0.0009053907306078432
