ID,Name,Description,Contributor,Citation,Source,Related,PDF,Tags,Year,Number_Of_Items,Gloss_Language_IDs,Target_Language,List_Suffix,Source_URL,Pages,Alias,Attributes
Wittmann-1973-200,"Wittmann, Henri Gontran 1973","This list, based on [Swadesh’s 200 item list](conceptlists.csv#cldf:Swadesh-1952-200), was used for lexicostatistical analysis of the relatedness between Caribbean Creoles (represented by Haitian in the list) and Mascarene Creoles (represented by Mauritian). The chosen words of both Creole languages were compared among each other and with French with regards to their homosemantic similarity, yielding a greater relatedness of each Creole to French than to each other. Our mappings generally follow the English concepts in Swadesh; however, the French translations may diverge from them in some cases.","Wittmann, Henri Gontran",n.d. In.,Wittmann1973,Swadesh-1952-200,,areal; basic,1973,200,french,"Mauritian, Haitian",,,94-98,,haitian mauritian
Gerardi-2021-244,"Ferraz Gerardi, Fabrício and Reichert, Stanislav 2021",This 244-item list was the basis of a pilot study on the classification of 38 Tupían languages. It was later expanded to [414 concepts](conceptlists.csv#cldf:Gerardi-2021-414) as part of the TULED database.,"Ferraz Gerardi, Fabrício and Reichert, Stanislav",n.d.,Gerardi2021b,Gerardi-2021-414,Gerardi2021b,areal; basic,2021,244,english,Tupi-Guarani languages,,https://doi.org/10.1075/dia.18032.fer,30-35,,
Bowern-2021-207a,"Bowern, Claire and Epps, Patience and Hill, Jane and Hunley, Keith 2021a","This list is one of three representing the current state of the database “Languages of hunter-gatherers and their neighbors” which includes lexical as well as grammatical data for phylogenetic research. The lexical items were assigned to three main categories (Basic Vocabulary, Flora Fauna Vocabulary, and Culture Vocabulary) and several subcategories; this list contains the items assigned to “Basic Vocabulary”.","Bowern, Claire and Epps, Patience and Hill, Jane and Hunley, Keith",n.d.,Bowern2021,,,areal; basic,2021,207,english,"Languages spoken by hunter-gatherers in Australia, North America and South America",a,https://huntergatherer.la.utexas.edu/lexical,,Hunter-Gatherer Database,database_id list semantic_category
Bowern-2021-342b,"Bowern, Claire and Epps, Patience and Hill, Jane and Hunley, Keith 2021b","This list is one of three representing the current state of the database “Languages of hunter-gatherers and their neighbors” which includes lexical as well as grammatical data for phylogenetic research. The lexical items were assigned to three main categories (Basic Vocabulary, Flora Fauna Vocabulary, and Culture Vocabulary) and several subcategories; this list contains the items assigned to “Flora Fauna Vocabulary”.","Bowern, Claire and Epps, Patience and Hill, Jane and Hunley, Keith",n.d.,Bowern2021,,,areal; specific,2021,342,english,"Languages spoken by hunter-gatherers in Australia, North America and South America",b,https://huntergatherer.la.utexas.edu/lexical,,Hunter-Gatherer Database,database_id list semantic_category
Bowern-2021-203c,"Bowern, Claire and Epps, Patience and Hill, Jane and Hunley, Keith 2021c","This list is one of three representing the current state of the database “Languages of hunter-gatherers and their neighbors” which includes lexical as well as grammatical data for phylogenetic research. The lexical items were assigned to three main categories (Basic Vocabulary, Flora Fauna Vocabulary, and Culture Vocabulary) and several subcategories; this list contains the items assigned to “Culture Vocabulary”.","Bowern, Claire and Epps, Patience and Hill, Jane and Hunley, Keith",n.d.,Bowern2021,,,areal; specific,2021,203,english,"Languages spoken by hunter-gatherers in Australia, North America and South America",c,https://huntergatherer.la.utexas.edu/lexical,,Hunter-Gatherer Database,database_id list semantic_category
Majid-2015-21,"Majid, Asifa and van Staden, Miriam 2015","This is the list of body part terms used in a coloring-in experiment by [Majid and van Staden (2015)](sources.bib#cldf:Majid2015). In some cases the closest translation equivalent across languages was not clear a priori so multiple terms were included (e.g., for belly). Glosses indicate current best translation. Participants were given a sheet of paper with a blank line drawing of an androgonized (originally female) body and had to color-in the given body part. The sheets were scanned afterwards and the colored-in areas were compared.","Majid, Asifa and van Staden, Miriam",n.d.,Majid2015,,,body parts,2015,21,english,"Dutch, Japanese, Indonesian",,https://doi.org/10.1111/tops.12159,,,dutch indonesian japanese
Blomberg-2020-160,"Blomberg, Frida and Roll, Mikael and Frid, Johan and Lindgren, Magnus and Horne, Merle 2020","This is a list of experimental stimuli (nouns only). The words were presented visually and the participants performed a lexical decision task while their EEGs were recorded. The words were grouped into four semantic categories: specific, general, emotional, abstract.","Blomberg, Frida and Roll, Mikael and Frid, Johan and Lindgren, Magnus and Horne, Merle",n.d.,Blomberg2020,,,ratings,2020,160,english swedish,Swedish,,https://www.jbe-platform.com/content/journals/10.1075/ml.19021.blo,,,semantic_category
Johansson-2020-11,"Johansson, Niklas Erben and Anikin, Andrey and Aseyev, Nikolay 2020","This list of 11 color concepts underlies the study on cross-linguistic color sound symbolism. The language data come from the corpus compiled by [Johansson et al. (2020)](conceptlists.csv#cldf:Johansson-2020-344) for an investigation of 344 basic vocabulary items in 245 language families. The acoustic properties of the phonemes were obtained from audio recordings in the Seeing Speech database [Lawson et al. (2015)](sources.bib#cldf:Lawson2015). The characteristics of the colors are represented in the columns MUNSELL, SATURATION, RGB, HUE, HUE_D, WARMTH, SAT_WITZEL, LUMINANCE, A and B. The latter three measurements were calculated based on the previously published CIELAB coordinates in the World Color Survey [Regier, Kay, and Cook (2005)](sources.bib#cldf:Regier2005). The A and B columns represent the coordinates of each color in the CIEL space, a 3D color space with a psychologically meaningful distance metric. SAT_WITZEL refers to the saturation ratings from the study by [Witzel and Franklin (2014)](sources.bib#cldf:Witzel2014). Finally, HUE_D lists the measurements for a darker hue of each color.","Johansson, Niklas Erben and Anikin, Andrey and Aseyev, Nikolay",n.d.,Johansson2020b,Johansson-2020-344,Johansson2020b,colors; ratings,2020,11,english,Global,,https://www.cambridge.org/core/journals/language-and-cognition/article/color-sound-symbolism-in-natural-languages/537E325E594CFC227056D4FEA6BCD8E3,,,a b luminance rgb saturation warmth
Vergallito-2020-1121,"Vergallito, Alessandra and Petilli, Marco Alessandro and Marelli, Marco 2020","This is a list of perceptual modality norms for 1,121 Italian words (20% of adjectives, 69% of nouns, 5% of verbs and a 6% of words that could be considered both as an adjective or a noun.). Participants provided ratings on five modalities (visual, haptic, auditory, olfactory, or gustatory) on a scale of 0 (not at all) to 5 (greatly).","Vergallito, Alessandra and Petilli, Marco Alessandro and Marelli, Marco",n.d.,Vergallito2020,,,ratings,2020,1121,english italian,Italian,,https://osf.io/zdg59/,,,accuracy_ld_mean accuracy_naming_mean auditory_mean gustatory_mean haptic_mean ld_rt_mean ld_rt_zscore naming_rt_mean naming_rt_zscore olfactory_mean perceptual_dominant perceptual_exclusivity perceptual_strength_max perceptual_strength_mean perceptual_strength_min pos vector_magnitude visual_mean word_length
Jackson-2019-24,"Jackson, Joshua Conrad and Watts, Joseph and Henry, Teague R. and List, Johann-Mattis and Mucha, Peter J. and Forkel, Robert and Greenhill, Simon J. and Lindquist, Kristen 2019","This 24-item list underlies the study on the cultural variation and structure in emotion semantics across nearly 2500 languages from 20 major families. The data for this investigation was derived from the [database of cross-linguistic colexifications (CLICS)](clics.clld.org). The columns VALENCE, ACTIVATION, DOMINANCE, CERTAINTY, APPROACH_AVOIDANCE and SOCIALITY correspond with the respective physiological dimensions of the emotion concepts that were rated by users. The ratings are available for 20 out of the 24 terms since the study was carried out before the data were extended.","Jackson, Joshua Conrad and Watts, Joseph and Henry, Teague R. and List, Johann-Mattis and Mucha, Peter J. and Forkel, Robert and Greenhill, Simon J. and Lindquist, Kristen",n.d.,Jackson2019,,,ratings; specific,2019,24,english,Global,,https://science.sciencemag.org/content/366/6472/1517,,,activation approach_avoidance certainty dominance sociality valence
