concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
490,descendants,One who is the progeny of someone at any distance of time.,n08369220,descendants//posterity,"all of the offspring of a given progenitor; ""we must secure the benefits of freedom for ourselves and our posterity"""
2255,father-in-law (of man),The father-in-law of a man.,NA,NA,NA
2254,father-in-law (of woman),The father-in-law of a woman.,NA,NA,NA
2257,mother-in-law (of man),The mother-in-law of a man.,NA,NA,NA
2256,mother-in-law (of woman),The mother-in-law of a woman.,NA,NA,NA
2267,son-in-law (of man),The son-in-law of a man.,NA,NA,NA
2266,son-in-law (of woman),The son-in-law of a woman.,NA,NA,NA
2265,daughter-in-law (of man),The daughter-in-law of a man.,NA,NA,NA
2264,daughter-in-law (of woman),The daughter-in-law of a woman.,NA,NA,NA
237,stepfather,"The husband of one's biological mother, other than one's biological father.",n10654701,stepfather,the husband of your mother by a subsequent marriage
236,stepmother,"The wife of one's biological father, other than one's biological mother.",n10654827,stepmother,the wife of your father by a subsequent marriage
1059,stepson,The son of one's spouse and his or her previous partner.,n10655075,stepson,the son your spouse by a former marriage
1058,stepdaughter,The daughter of one's spouse and his or her previous partner.,n10654596,stepdaughter,a daughter of your spouse by a former marriage
1149,orphan,"A person one or both of whose parents have died, especially a minor.",n10384392,orphan,a child who has lost both parents
1756,widow,A woman whose spouse has died.,n10780284,widow//widow woman,a woman whose husband is dead especially one who has not remarried
1981,widower,A man whose spouse has died.,n10780506,widower//widowman,a man whose wife is dead especially one who has not remarried
1644,relatives,"A person that is considered to be of the same family due to shared ancestors, marriage or adoption.",n10235549,relative//relation,"a person related by blood or marriage; ""police are searching for relatives of the deceased""; ""he has distant relations back in New Jersey"""
194,family,"A group comprising parents, offsprings and others closely related or associated with them.",n07970406,family//family unit,"primary social group; parents and children; ""he wanted to have a good job before starting a family"""
1209,i,The speaker or writer referring to himself or herself alone.,NA,NA,NA
1215,thou,The person addressed.,NA,NA,NA
262,he or she or it,"Third person singular pronoun, regardless of gender/sex.",NA,NA,NA
1212,we,The speaker or writer and at least one other person.,NA,NA,NA
1131,we (inclusive),"Inclusive we: I and at least one other person, including the addressed person(s) (pronoun 1st person plural with 2nd person).",NA,NA,NA
1130,we (exclusive),"Exclusive we: I and at least one other person, but not the addressed person (you) (pronoun 1st person plural without 2nd person).",NA,NA,NA
1213,you,The group of persons addressed.,NA,NA,NA
817,they,"The third person plural of the personal pronoun that designates more than one person or animal, thing or idea which have already been mentioned previously.",NA,NA,NA
619,animal,"Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.",n00015388,animal//animate being//beast//brute//creature//fauna,a living organism characterized by voluntary movement
