concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens
522,wolf,Animals,Person/Thing,Noun,0.3786,27.73588,0.721217,25.524122,213.11221,2.31105,1.81e-4,455.651142,4.5,4.79,5.019998021
539,nest,Animals,Person/Thing,Noun,1,11.832251,0.485158,14.353702,146.17257,1.17531,7.4e-5,242.954613,5.11,4.86,5.20186608
579,battle,Warfare and hunting,Person/Thing,Noun,1,197.3432,0.325673,227.604561,383.71759,0.89579,0.001506,4095.223969,6.95,4,5.968651226
585,boot,Clothing and grooming,Person/Thing,Noun,0.719752,19.161382,0.853561,44.811909,123.76587,0.7115,2.3e-4,816.671611,3.89,4.96,5.136675848
586,garden,Agriculture and vegetation,Person/Thing,Noun,0.396911,52.910263,0.796388,93.631857,410.11313,1.6195600000000001,4.97e-4,1838.030258,5.33,4.73,5.1896073639999996
590,naked,The body,Property,Adjective,0.928075,28.773759,0.550103,34.625411,95.8304,0.51936,3.08e-4,675.763868,4.68,4.5,6.109547028
593,potato,Food and drink,Person/Thing,Noun,0.736591,43.643744,0.407664,62.696158,310.96346,1.50303,3.87e-4,1177.395432,4.84,4.85,7.027058498
597,physician,The body,Person/Thing,Noun,0.927782,116.856128,0.252544,139.832834,201.91596,0.78252,8.85e-4,2512.904183,4.6,4.69,6.002125064
598,shell,Animals,Person/Thing,Noun,0.736559,9.603585,0.72349,20.445343,192.94795,1.36948,2.75e-4,378.226046,5.22,4.8,5.12674677
603,coat,Clothing and grooming,Person/Thing,Noun,0.716858,9.733024,1.328852,37.967856,122.31447,1.07264,2.72e-4,708.988431,3.58,4.97,5.539998973
605,grain,Agriculture and vegetation,Person/Thing,Noun,0.305241,12.401581,0.640232,18.448558,152.50395,1.14939,1.68e-4,334.32216,7.44,4.8,4.93578302
610,port,Motion,Person/Thing,Noun,0.222978,35.730621,0.841047,26.638271,99.49783,0.5068,8.6e-5,479.976268,8.28,4.57,4.448118205
615,horse,Animals,Person/Thing,Noun,1,53.222855,0.423085,63.824776,1229.01538,1.81261,0.001331,1121.328982,4.15,5,6.312235776
617,ice,The physical world,Person/Thing,Noun,0.935665,37.717019,0.862793,118.852121,127.84423,1.11021,7.13e-4,1949.569861,3.86,4.89,6.425136796
619,animal,Animals,Person/Thing,Noun,1,150.648337,0.269406,153.477532,499.10827,1.11947,0.001767,2870.364877,2.89,4.63,6.372430202
620,insect,Animals,Person/Thing,Noun,0.499929,7.237036,0.360677,6.438908,107.7085,1.07949,3.4e-4,123.405518,4.75,4.89,6.167566103
622,island,The physical world,Person/Thing,Noun,0.824867,60.947439,0.620545,72.376225,259.39972,2.16569,3.49e-4,1306.437259,7.41,4.96,4.636611448
623,lagoon,The physical world,Person/Thing,Noun,0.292531,2.284049,1.485926,1.707396,112.61404,1.2765,6e-6,30.851379,9.42,4.5,4.388477893
628,leaf,Agriculture and vegetation,Person/Thing,Noun,1,24.889503,0.944677,17.927657,806.28872,1.50482,4.83e-4,1610.501335,4.6,5,5.689509089
631,livestock,Animals,Person/Thing,Noun,0.517544,9.265283,1.77595,2.749197,106.38377,0.74881,1.2e-5,51.616731,7.89,4.7,5.193232586
633,market,Possession,Person/Thing,Noun,0.61455,117.018186,0.398526,166.34088,274.36916,1.3835,1.71e-4,3023.138535,7.16,4.7,6.085163937
635,milk,Food and drink,Person/Thing,Noun,1,76.97936,0.474785,69.279761,397.21209,1.39388,6.64e-4,1210.916642,3.37,4.92,6.396153607
636,mill,Food and drink,Person/Thing,Noun,0.421757,7.450562,0.741861,14.975888,220.04212,2.82678,4.4e-5,406.407594,8.17,4.72,4.837033515
640,mud,The physical world,Person/Thing,Noun,1,11.378624,0.595737,12.197752,154.76367,1.67283,2.45e-4,229.30881,4.05,4.86,4.810800215
645,ocean,The physical world,Person/Thing,Noun,0.405767,21.520834,0.665663,35.102903,130.55583,1.19735,8.86e-4,658.261643,4.74,4.86,6.539262436
646,ash,The physical world,Person/Thing,Noun,1,13.637467,2.448982,9.390678,172.71606,1.14068,1.18e-4,276.179175,6.626683,4.96,4.930783751
649,pasture,Animals,Person/Thing,Noun,0.612081,4.350738,0.750347,4.934085,109.96529,1.05874,2.8e-5,96.707209,6.33,4.78,4.634147154
653,plant,Agriculture and vegetation,Person/Thing,Noun,0.393021,60.49945,0.503872,98.045042,672.99474,3.6424,8.34e-4,1324.236132,3.95,4.76,6.020980021
655,poison,The body,Person/Thing,Noun,0.917557,18.060457,0.733946,17.262062,160.46761,1.8197,2.44e-4,200.830614,5.58,4.27,4.223900373
658,rain,The physical world,Person/Thing,Noun,1,184.983184,0.351983,169.78461,441.30809,1.44292,7.76e-4,2599.228716,3.6,4.97,6.463353079
660,reef,The physical world,Person/Thing,Noun,0.155925,2.048917,1.086221,2.66238,190.21413,2.26489,3.8e-5,69.118956,9.72,4.7,4.955146224
661,religion,Religion and belief,Person/Thing,Noun,0.353264,98.730463,1.4013,44.956603,160.13863,1.8124,0.001143,796.202907,7.06,1.71,3.717517985
663,bay,The physical world,Person/Thing,Noun,0.268285,20.039608,0.642424,55.98233,126.336,0.99264,6.9e-5,1082.171462,8.67,4.81,4.983585455
665,bee,Animals,Person/Thing,Noun,1,10.226056,0.670159,24.815119,160.99532,1.3893,4.61e-4,455.354494,5,4.88,5.163787213
671,sand,The physical world,Person/Thing,Noun,1,29.214411,0.545031,29.459815,136.33306,1.04495,5.19e-4,510.234352,4.63,5,5.619874412
676,shit,The body,Action/Process,Verb,1,0.741145,0.22947,0.491962,97.9929,0.4998,9e-6,5.043014,13.2,4.21,5.26740347
677,axe,Basic actions and technology,Person/Thing,Noun,1,4.971216,0.704266,4.196143,228.38234,0.96584,1.23e-4,133.194898,6.11,5,5.494296383
691,season,Time,Person/Thing,Noun,0.366143,112.601499,0.479062,286.061168,236.40998,1.64946,7.9e-5,5181.548502,6.05,3.32,4.336283804
698,wise,Cognition,Property,Adjective,0.82593,24.83646,0.988458,40.818339,118.98184,1.24463,2.25e-4,703.945417,6.79,1.97,4.520399213
701,slow,Time,Property,Adverb,1,115.782353,0.508014,152.623834,281.9161,1.13526,5.21e-4,2751.11243,4.15,3.28,5.690812025
704,clean,Sense perception,Property,Adjective,0.818172,52.356663,0.802255,132.091674,278.88548,0.93004,0.001076,2050.726787,3.89,3.07,6.526684452
706,dark,Sense perception,Property,Adjective,0.673979,71.97524,0.512799,152.855346,261.54687,0.86334,0.001029,2577.276772,3.74,4.29,5.339449095
710,wheel,Motion,Person/Thing,Noun,0.929031,29.431572,0.688194,36.868177,101.23175,0.55261,4.15e-4,670.720854,4.4,4.86,4.655456478
712,rich,Possession,Property,Adjective,0.648427,93.06207,1.115604,87.366582,227.12907,1.89843,7.7e-4,1520.3203799999999,6.32,2.79,4.394311712
714,seed,Agriculture and vegetation,Person/Thing,Noun,1,21.347515,0.779043,53.392297,313.26728,2.24463,2.4e-4,927.32127,4.72,4.71,5.040899137
718,pay,Possession,Action/Process,Verb,0.923319,184.221081,0.508621,314.348957,285.60897,1.13782,2.67e-4,3475.52655,5.5,3.54,4.218444486
719,find,Possession,Action/Process,Verb,1,601.559766,0.632236,1143.24628,739.1409,1.28713,2.8e-4,12885.197270999999,5.78,2.63,4.107739654
720,good luck,Emotions and values,Person/Thing,Noun,0.640316,147.209267,0.690262,171.65117,104.78627,0.43066,1.56e-4,3439.928805,6.53,1.33,4.152173848
722,attack,Warfare and hunting,Person/Thing,Noun,0.509974,72.55451,0.447358,98.3489,105.64348,0.48895,2.06e-4,1590.625927,6.58,3.71,6.146850232
730,snake,Animals,Person/Thing,Noun,1,14.992921,0.434054,20.445343,772.72164,1.46098,5e-4,354.494215,5.1,5,4.951397422
733,earn,Possession,Action/Process,Verb,0.489618,59.586012,1.001365,59.614164,113.55073,0.57263,6.2e-5,510.827648,7.57,2.39,4.24982333
735,owl,Animals,Person/Thing,Noun,0.926227,9.078329,1.477919,13.485534,135.30941,1.18518,1.14e-4,250.37081,6.21,4.93,5.815083801
736,yard,The house,Person/Thing,Noun,0.694664,16.454003,1.242259,65.344069,260.08446,1.36102,1.19e-4,1236.725007,3.94,4.82,5.554379105
