concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold
923,love,Emotions and values,Action/Process,Verb,1
924,vegetables,Food and drink,Person/Thing,Noun,0.882188
925,cassava,Agriculture and vegetation,Person/Thing,Noun,0.594456
926,rice,Agriculture and vegetation,Person/Thing,Noun,0.937725
928,embrace,Emotions and values,Action/Process,Verb,0.98504
930,village,Social and political relations,Person/Thing,Noun,1
932,barley,Agriculture and vegetation,Person/Thing,Noun,0.637837
933,wall,The house,Person/Thing,Noun,0.940093
936,stallion,Animals,Person/Thing,Noun,0.753381
937,bird,Animals,Person/Thing,Noun,1
938,mare,Animals,Person/Thing,Noun,0.708535
941,mead,Food and drink,Person/Thing,Noun,0.347372
942,honey,Food and drink,Person/Thing,Noun,0.972422
943,waterfall,The physical world,Person/Thing,Noun,0.92447
945,spear,Warfare and hunting,Person/Thing,Noun,0.951122
946,blood,The body,Person/Thing,Noun,1
948,water,The physical world,Person/Thing,Noun,1
950,seagull,Animals,Person/Thing,Noun,0.522272
951,weapons,Warfare and hunting,Person/Thing,Noun,0.940913
952,weather,The physical world,Person/Thing,Noun,0.750273
953,rape,Law,Person/Thing,Noun,0.911225
956,flee,Motion,Action/Process,Verb,1
957,whale,Animals,Person/Thing,Noun,0.513898
960,wind,The physical world,Person/Thing,Noun,1
962,woman,Kinship,Person/Thing,Noun,1
963,book,Speech and language,Person/Thing,Noun,1
964,wool,Clothing and grooming,Person/Thing,Noun,0.828049
965,world,The physical world,Person/Thing,Noun,0.892038
968,acorn,Agriculture and vegetation,Person/Thing,Noun,0.403625
970,coconut,Agriculture and vegetation,Person/Thing,Noun,0.687253
974,tobacco,Agriculture and vegetation,Person/Thing,Noun,0.986424
977,arrow,Warfare and hunting,Person/Thing,Noun,0.945153
978,wave,The physical world,Person/Thing,Noun,0.959583
979,farmer,Agriculture and vegetation,Person/Thing,Noun,0.730431
980,heel,The body,Person/Thing,Noun,1
981,elbow,The body,Person/Thing,Noun,1
983,convict,Law,Action/Process,Verb,0.682127
984,work,Basic actions and technology,Person/Thing,Noun,1
987,remain,Spatial relations,Action/Process,Verb,1
988,acquit,Law,Action/Process,Verb,0.646825
989,clear,Cognition,Property,Adjective,0.891739
994,bow,Warfare and hunting,Person/Thing,Noun,0.843981
996,deaf,The body,Property,Adjective,0.974618
998,put,Spatial relations,Action/Process,Verb,1
1000,anxiety,Emotions and values,Person/Thing,Noun,0.98418
1001,blacksmith,Basic actions and technology,Person/Thing,Noun,0.897584
1002,statue,Basic actions and technology,Person/Thing,Noun,0.568812
1005,twins,Kinship,Person/Thing,Noun,1
1006,brick,The house,Person/Thing,Noun,0.887799
1007,cow,Animals,Person/Thing,Noun,0.950871
1008,bull,Animals,Person/Thing,Noun,0.845526
1010,boundary,Social and political relations,Person/Thing,Noun,0.84308399999999994
1011,bridge,Motion,Person/Thing,Noun,1
1012,latch,The house,Person/Thing,Noun,0.780527
1014,or,Cognition,Other,Function word,0.944854
1019,right,Spatial relations,Property,Adjective,1
1021,towel,Clothing and grooming,Person/Thing,Noun,0.983959
1022,booty,Warfare and hunting,Person/Thing,Noun,0.651582
1025,whistle,Speech and language,Action/Process,Verb,1
1026,low tide,The physical world,Person/Thing,Noun,0.434663
1028,yawn,The body,Action/Process,Verb,1
1029,jewel,Clothing and grooming,Person/Thing,Noun,0.761907
1032,citizen,Social and political relations,Person/Thing,Noun,0.563967
1033,grind,Food and drink,Action/Process,Verb,1
1034,defendant,Law,Person/Thing,Noun,0.809258
1035,good,Emotions and values,Property,Adjective,1
1038,teacher,Cognition,Person/Thing,Noun,1
1039,show,Sense perception,Action/Process,Verb,1
1042,carpenter,Basic actions and technology,Person/Thing,Noun,0.868578
