concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,mand1415,kore1280,indo1316,stan1306,stan1293,stan1295,dani1285,norw1258,finn1318,lith1251,poli1260,russ1263,ukra1253,mace1250,mode1248,roma1327,ital1282,stan1290,stan1289,stan1288,port1283,dutc1256,swed1254
979,farmer,Agriculture and vegetation,Person/Thing,Noun,0.730431,0.712611,44.724419,1.406116,45.901581,29.008592,37.866569,3.962285,11.822502,14.994671,7.851681,3.397203,13.854188,8.35007,51.860507,26.226382,28.622957,8.945032,6.787915,17.724715,10.687577,8.83789,13.475232,69.000125,17.70877
984,work,Basic actions and technology,Person/Thing,Noun,1,0.969083,697.3473,85.635233,376.819351,1100.592662,1832.773792,935.246051,912.066638,509.411735,668.649185,923.850556,231.195587,2669.069888,1853.611557,2388.832784,890.368245,243.148508,1198.446286,708.955604,949.424413,1281.351165,1507.846189,1734.113164,752.981669
1002,statue,Basic actions and technology,Person/Thing,Noun,0.568812,0.600666,6.315026,6.258596,23.321279,20.67279,10.577173,3.417209,4.03091,3.121063,11.871742,3.019736,6.26397,8.580735,6.712035,16.070634,18.468931,23.59281,15.372631,11.788996,11.708683,11.256218,9.864643,7.233204,2.791923
1005,twins,Kinship,Person/Thing,Noun,1,0.885017,5.66949,7.361432,37.464842,25.274153,38.836023,8.951829,14.051888,12.416402,4.459755,4.907071,8.732831,12.871102,4.245219,13.838602,23.001978,12.555238,25.554503,17.559833,12.321346,20.522812,19.613232,12.062369,7.697731
1008,bull,Animals,Person/Thing,Noun,0.845526,0.867157,3.592548,0.964982,3.613888,1.533788,49.03699,19.224421,4.346177,8.820395,1.884404,5.473272,4.794896,12.340573,6.712035,3.682854,10.205833,9.289956,18.786552,10.519412,39.550841,41.507305,19.690602,7.718229,7.837327
1011,bridge,Motion,Person/Thing,Noun,1,0.905173,39.209296,33.360796,44.276631,24.673975,45.737954,31.404779,36.210635,11.602212,22.675656,43.408708,18.159392,47.655372,11.129357,56.358821,17.873159,40.770031,55.261612,45.622591,87.6109,95.282129,49.74875,35.680994,29.973289
1035,good,Emotions and values,Property,Adjective,1,0.994336,110.765561,362.860689,882.451719,2410.047189,3039.512051,4196.940499,5562.791302,5595.353253,2396.898473,2657.934093,1827.30414,1710.541825,1237.022252,1713.642953,1863.52289,744.27726,1111.161688,3649.790771,3092.794102,3988.900358,6166.291812,4272.229618,4791.897329
1038,teacher,Cognition,Person/Thing,Noun,1,0.926056,427.709712,15.108856,338.366539,324.496116,148.615795,67.023416,142.883384,179.155792,90.891063,90.780821,82.635436,143.819576,222.013454,80.799577,71.440829,34.469417,48.972809,42.869077,164.534223,88.609742,142.502187,66.659351,101.08756
1045,poet,Speech and language,Person/Thing,Noun,0.633143,0.459393,15.534965,8.381555,22.684299,3.734439,21.342449,13.207617,9.232811,8.684697,16.645564,21.326887,13.792977,37.160118,81.003359,49.327918,48.153916,31.939973,60.033117,23.396623,88.291637,44.903957,47.595292,47.490306,9.273173
1062,law,Law,Person/Thing,Noun,0.849292,0.735753,109.039453,11.717635,314.070291,52.282153,172.533807,489.604274,371.789546,329.238205,135.300173,14.532481,112.710654,247.711054,590.085372,373.753842,211.214112,260.486693,430.653265,510.092551,240.504514,502.110876,423.006221,61.429512,62.020578
