concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_ids
1152,beget,The body,Action/Process,Verb,0.786165
1090,be born,The body,Action/Process,Verb,0.954218
1123,pregnant,The body,Property,Adjective,0.996803
1087,conceive,The body,Action/Process,Verb,0.777524
1417,kill,The body,Action/Process,Verb,0.992985
767,corpse,The body,Person/Thing,Noun,0.951274
1719,bury,Basic actions and technology,Action/Process,Verb,0.988985
1773,grave,The body,Person/Thing,Noun,0.956107
1601,weak,The body,Property,Adjective,0.97506
1364,healthy,The body,Property,Adjective,0.946429
1847,sick,The body,Property,Adjective,0.993932
1534,fever,The body,Person/Thing,Noun,0.946751
1957,goiter,The body,Person/Thing,Noun,0.666398
102,common cold,The body,Person/Thing,Noun,0.930275
1109,wound,The body,Person/Thing,Noun,0.948637
1148,bruise,The body,Person/Thing,Noun,0.806118
1903,swelling,The body,Person/Thing,Noun,0.966504
148,itch,The body,Person/Thing,Noun,0.956199
1584,blister,The body,Person/Thing,Noun,0.887544
793,boil,The body,Person/Thing,Noun,0.927164
1808,pus,The body,Person/Thing,Noun,0.95624
497,scar,The body,Person/Thing,Noun,0.913959
499,cure,The body,Action/Process,Verb,0.977598
597,physician,The body,Person/Thing,Noun,0.887853
1372,medicine,The body,Person/Thing,Noun,0.984689
655,poison,The body,Person/Thing,Noun,0.916742
1757,tired,The body,Property,Adjective,0.977971
168,rest,The body,Action/Process,Verb,0.965928
1564,lazy,The body,Property,Adjective,0.979493
1125,bald,The body,Property,Adjective,0.95268
320,lame,The body,Property,Adjective,0.968992
996,deaf,The body,Property,Adjective,0.997928
1666,mute,The body,Property,Adjective,0.943938
1653,blind,The body,Property,Adjective,0.996077
1463,drunk,The body,Property,Adjective,0.967033
590,naked,The body,Property,Adjective,0.981235
1336,eat,Food and drink,Action/Process,Verb,1
256,food,Food and drink,Person/Thing,Noun,0.983884
269,cooked,Food and drink,Property,Adjective,0.94729
1959,raw,Food and drink,Property,Adjective,0.970178
178,ripe,Food and drink,Property,Adjective,0.978437
1958,unripe,Food and drink,Property,Adjective,0.94833
1728,rotten,Food and drink,Property,Adjective,0.981958
1401,drink,Food and drink,Action/Process,Verb,0.999178
199,famine,Agriculture and vegetation,Person/Thing,Noun,0.813541
1421,suck,Food and drink,Action/Process,Verb,0.986265
321,chew,Food and drink,Action/Process,Verb,0.988167
897,swallow,Food and drink,Action/Process,Verb,0.978437
129,choke,Food and drink,Action/Process,Verb,0.907925
1100,cook,Food and drink,Action/Process,Verb,0.973407
792,boil,Food and drink,Action/Process,Verb,0.983894
2146,roast or fry,Food and drink,Action/Process,Verb,0.987195
183,bake,Food and drink,Action/Process,Verb,0.873001
1143,oven,Food and drink,Person/Thing,Noun,0.728479
854,kettle,Food and drink,Person/Thing,Noun,0.779819
31,pan,Food and drink,Person/Thing,Noun,0.795684
481,dish,Food and drink,Person/Thing,Noun,0.867156
480,plate,Food and drink,Person/Thing,Noun,0.913777
1530,bowl,Food and drink,Person/Thing,Noun,0.900393
270,jug,Food and drink,Person/Thing,Noun,0.874869
476,cup,Food and drink,Person/Thing,Noun,0.920173
271,saucer,Food and drink,Person/Thing,Noun,0.660348
1378,spoon,Food and drink,Person/Thing,Noun,0.961931
3210,knife,Food and drink,Person/Thing,Noun,0.973292
