concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens
318,footprint,The body,Person/Thing,Noun,1,0.904076,6.931928,0.965778,5.266882,125.75772,1.25736,1.7e-5,102.936814,5.78,4.37,5.227881243
319,lick,The body,Action/Process,Verb,1,0.994828,7.144828,0.854992,16.842448,105.89475,0.5892,5.4e-5,217.146247,4.3,4.52,5.81228563
320,lame,The body,Property,Adjective,0.976033,0.968992,8.945745,1.3388,28.200972,98.82161,0.72204,1.02e-4,577.57342,9.21,2.52,3.021930112
321,chew,Food and drink,Action/Process,Verb,1,0.988167,6.385472,0.728295,16.393895,136.14563,1.04945,1.2e-4,169.682587,4.05,3.93,5.656562598
322,fig,Food and drink,Person/Thing,Noun,0.696146,0.4631,5.453718,1.216891,5.903539,102.94554,0.67319,2.6e-5,103.826758,8.06,4.97,5.439348228
323,fat,The body,Person/Thing,Noun,0.98504,0.967919,52.104321,0.665167,102.762085,215.73413,1.13287,0.001185,1803.619104,5.15,4.61,5.75207545
329,stocking,Clothing and grooming,Person/Thing,Noun,1,0.730777,32.1027,0.492411,39.819946,93.21774,0.39321,2.49e-4,719.667754,2.94,4.91,6.226233023
332,rag,Clothing and grooming,Person/Thing,Noun,0.968788,0.811886,7.858788,0.639931,9.59325,99.97781,0.46092,1.02e-4,161.079798,5.22,5,6.693024854
337,pitchfork,Agriculture and vegetation,Person/Thing,Noun,0.758403,0.614444,7.231581,0.956967,14.816724,102.81193,1.12364,1.86e-4,274.992584,3.63,5,6.247655603
342,hay,Agriculture and vegetation,Person/Thing,Noun,0.8754,0.678854,4.975554,1.415741,10.707398,177.98194,2.07263,1.47e-4,192.524473,5.32,4.87,4.668342343
345,sap,Agriculture and vegetation,Person/Thing,Noun,0.976033,0.855612,2.377659,0.762717,5.802252,106.59491,0.72818,2.8e-5,96.113913,7.53,4.37,4.159696984
352,untie,Basic actions and technology,Action/Process,Verb,1,0.966434,0.770665,0.276474,0.607717,98.49349,0.45853,1.4e-5,11.569267,4.84,3.89,4.798747461
363,dwell,The house,Action/Process,Verb,1,0.969579,362.322711,0.704155,763.061293,940.64281,1.06408,2.45e-4,9288.341738,6.1,3.57,6.229331569
365,splash,Motion,Action/Process,Verb,0.973707,0.872004,2.333187,1.354128,11.705791,89.07829,0.38476,4.8e-5,177.69208,3.67,4.19,4.869646746
367,ride,Motion,Action/Process,Verb,0.87839,0.884468,24.643521,1.423732,150.699396,239.19618,1.61788,2.05e-4,2161.376446,4.67,3.75,4.596801889
369,owe,Possession,Action/Process,Verb,0.925113,0.872165,13.943411,0.405945,18.11576,114.90873,1.61614,3.5e-5,320.676357,8.61,2.07,2.694300893
378,pinch,Sense perception,Action/Process,Verb,1,0.905363,5.465573,0.660946,12.501611,96.9887,0.57522,4.1e-5,201.42391,5.5,4,5.456328324
383,master,Social and political relations,Person/Thing,Noun,0.862054,0.849161,89.830595,1.20039,144.491999,139.68316,1.31285,1.08e-4,2550.281815,5.95,3.61,4.424039022
390,punishment,Law,Person/Thing,Noun,0.826629,0.782785,70.837001,0.999378,29.749204,95.68784,0.56162,2.01e-4,570.157223,5.47,2.86,5.292874353
391,bless,Religion and belief,Action/Process,Verb,0.872584,0.679946,35.231597,0.948278,131.455018,117.84247,1.16501,7e-6,819.63809,5.33,2.68,3.658289017
392,magic,Religion and belief,Person/Thing,Noun,0.92179,0.828947,33.755864,0.685255,70.176867,189.38555,1.18906,5.04e-4,1315.633343,5.52,2.96,5.372252452
410,yam,Agriculture and vegetation,Person/Thing,Noun,0.562752,0.480628,2.226898,1.483671,1.085209,287.08098,1.66635,4e-6,36.487689,8.34246,4.93,6.123790251
411,gourd,Agriculture and vegetation,Person/Thing,Noun,0.703003,0.868403,2.743016,1.211167,1.403537,151.06343,1.07283,8e-6,22.248591,10.65,4.86,5.178837237
420,forest,The physical world,Person/Thing,Noun,1,0.982371,56.202173,0.481234,32.180073,430.79421,1.17084,4.16e-4,592.405814,6.28,4.76,5.544539185
471,upper leg,The body,Person/Thing,Noun,1,0.981662,9.887659,0.675818,9.810292,106.98575,0.74517,3.1e-5,194.601009,6.42,4.9,5.993725451
476,cup,Food and drink,Person/Thing,Noun,0.976504,0.920173,59.79715,0.903993,146.517723,129.96443,0.68743,3.07e-4,2722.9308810000002,3.57,5,6.188637753
478,lip,The body,Person/Thing,Noun,1,0.999149,38.84217,0.666183,47.300655,102.21475,0.56805,2.62e-4,888.460398,3.79,4.96,5.160045192
479,grow,Spatial relations,Action/Process,Verb,1,0.993867,93.299608,0.604907,236.011316,359.40178,1.65178,2.49e-4,1795.312964,4.79,3.03,4.721708944
480,plate,Food and drink,Person/Thing,Noun,0.986424,0.913777,15.372003,0.95007,51.077184,151.30607,0.70592,2.05e-4,954.019579,3.84,4.77,5.487910083
