concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens,tax,freq_subtitleus,cd_subtitleus,freq_german,freq_spanish,freq_bbc,freq_cbeebies,freq_cbbc,freq_bnc,cd_bbc,cd_cbeebies,cd_cbbc,known_percentage,prevalence,valence_warriner,arousal_warriner,dominance_warriner,perceptual_max,perceptual_aggregated,action_max,action_aggregated,sensor_max,valence_mohammad,arousal_mohammad,dominance_mohammad
239,flower,Agriculture and vegetation,Person/Thing,Noun,1,0.988985,115.35385,0.428261,124.22029,332.90339,2.09255,0.001227,2203.797093,3.11,5,6.567422846,8,22.784002,693.374422,17.716746,16.658374,31.679544,198.502902,21.817419,24.908551,624.276699,658.369408,325.027086,1,2.575829,7.3,3.67,6.43,4.388889,5.871987,3.7,4.323049,4.388889,0.802,0.189,0.254
245,broom,Basic actions and technology,Person/Thing,Noun,0.974634,0.959851,5.842142,0.865953,4.601287,110.57778,1.00204,1.18e-4,88.697716,5.5,4.89,5.794184927,8,4.784248,198.106978,4.409501,4.543193,3.648849,23.765636,7.786688,3.508692,93.892613,82.972583,113.75948,0.997585,2.437662,5.5,3.33,5.76,4.166667,5.030276,3.954545,4.066417,4.166667,0.385,0.154,0.302
249,fog,The physical world,Person/Thing,Noun,1,0.958086,19.35873,0.704862,11.72026,92.71543,0.55337,1.32e-4,218.629487,6.21,4.66,4.941017721,8,9.470459,237.728373,13.504098,1.706702,12.037235,3.4195159999999998,3.30567,10.684125,298.709522,25.252525,54.171181,0.989518,2.160232,5.77,3.67,4.05,4.166667,4.183491,3.588235,3.619303,4.166667,0.51,0.213,0.26
256,food,Food and drink,Person/Thing,Noun,0.976504,0.983884,185.378711,0.622877,414.202681,1398.74315,0.80023,0.003691,7440.225452,3.25,4.8,7.185318072,4,154.448867,3968.743121,12.24424,207.784975,279.969826,368.110894,445.824631,200.121877,3137.97847,1376.262626,3102.202961,0.997555,2.436234,7.52,4.69,6.08,4.578947,6.594059,3.869565,4.383841,4.578947,0.888,0.324,0.527
270,jug,Food and drink,Person/Thing,Noun,0.861458,0.874869,6.801132,1.120737,18.159169,109.87899,0.67535,7.2e-5,364.876891,5.83,4.96,5.18484568,9,2.647023,83.645168,3.858314,1.177865,11.417526,9.74562,2.350698,5.81621,193.462454,57.720058,54.171181,0.994429,2.307434,5.45,3.73,5.45,3.833333,4.343173,3.157895,3.858744,3.833333,0.52,0.25,0.213
275,peel,Food and drink,Action/Process,Verb,1,0.969058,4.211535,1.323341,21.05306,131.01099,0.81952,5e-5,220.706022,6.05,4.61,5.146180173,2,5.372475,209.112921,0.74804,1.442283,10.639171,27.014176,9.990468,8.007825,271.633513,151.515152,166.124955,0.994652,2.315452,4.68,3.71,5.57,3.578947,4.268467,3.85,3.882333,3.85,0.439,0.25,0.279
281,post,The house,Person/Thing,Noun,1,0.936827,136.539999,1.021026,587.054816,137.9863,0.83301,1.63e-4,8471.966775,8.11,4.3,4.400732723,10,12.607671,434.734757,6.535511,6.634504,20.614013,29.578813,48.042397,14.266573,443.697185,135.281385,449.620802,0.992974,2.258556,5.6,3.05,4.59,3.684211,3.845773,2.526316,3.049107,3.684211,0.418,0.398,0.368
296,crouch,Motion,Action/Process,Verb,1,0.881505,3.667328,0.822347,8.00161,94.63471,0.48538,3.6e-5,137.941264,8.21,4.32,5.332108715,1,3.15682,147.479639,2.322862,0.673066,2.221038,2.906589,3.819885,2.265372,63.10457,16.233766,57.782593,0.992593,2.246583,4.79,4.05,4.87,4.235294,4.287684,3.904762,4.175011,4.235294,0.281,0.606,0.312
318,footprint,The body,Person/Thing,Noun,1,0.904076,6.931928,0.965778,5.266882,125.75772,1.25736,1.7e-5,102.936814,5.78,4.37,5.227881243,5,1.0980239999999999,51.727933,52.756533,14.134378,4.134701,9.061717,4.481019,1.548882,129.921174,50.505051,61.394005,0.997549,2.435945,6,2.96,6.37,4.05,4.101737,4.1,4.195938,4.1,0.592,0.292,0.336
319,lick,The body,Action/Process,Verb,1,0.994828,7.144828,0.854992,16.842448,105.89475,0.5892,5.4e-5,217.146247,4.3,4.52,5.81228563,2,10.980242,434.734757,6.929216,2.980719,7.307613,14.532943,13.957271,3.845863,252.854991,99.206349,261.827375,0.995062,2.330537,6.38,6.2,5.97,3.315789,4.669094,4.555556,4.555947,4.555556,0.47,0.482,0.33
