concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict
1071,hook,Warfare and hunting,Person/Thing,Noun,0.75114
1072,prisoner,Warfare and hunting,Person/Thing,Noun,0.695448
1077,wheat,Agriculture and vegetation,Person/Thing,Noun,0.588734
1081,bill,Possession,Person/Thing,Noun,0.425694
1082,merchant,Possession,Person/Thing,Noun,0.555177
1087,conceive,The body,Action/Process,Verb,0.592979
1091,salty,Sense perception,Property,Adjective,0.91705
1098,weigh,Possession,Action/Process,Verb,0.667107
1100,cook,Food and drink,Action/Process,Verb,0.920703
1103,sacrifice,Religion and belief,Person/Thing,Noun,0.381619
1110,shark,Animals,Person/Thing,Noun,0.280079
1115,speech,Speech and language,Person/Thing,Noun,0.642526
1121,secret,Cognition,Property,Adjective,0.825905
1122,wages,Possession,Person/Thing,Noun,0.830366
1124,pipe,Agriculture and vegetation,Person/Thing,Noun,0.75403
1125,bald,The body,Property,Adjective,1
1130,we,Kinship,Other,Function word,0.392355
1131,we,Kinship,Other,Function word,0.403729
1133,match,The physical world,Person/Thing,Noun,1
1134,divorce,Kinship,Person/Thing,Noun,0.517734
1135,kick,Motion,Action/Process,Verb,0.913191
1136,rabbit,Animals,Person/Thing,Noun,0.735838
1143,oven,Food and drink,Person/Thing,Noun,0.713337
1144,witness,Law,Person/Thing,Noun,0.661818
1145,swamp,The physical world,Person/Thing,Noun,0.811384
1148,bruise,The body,Person/Thing,Noun,1
1149,orphan,Kinship,Person/Thing,Noun,0.788395
1150,thunder,The physical world,Person/Thing,Noun,1
1151,veil,Clothing and grooming,Person/Thing,Noun,0.246298
1152,beget,The body,Action/Process,Verb,0.416364
1153,cattle,Animals,Person/Thing,Noun,0.3592
1154,olive,Food and drink,Person/Thing,Noun,0.228573
1155,cave,The physical world,Person/Thing,Noun,1
1156,open,Spatial relations,Action/Process,Verb,1
1159,fart,The body,Action/Process,Verb,1
1160,thief,Law,Person/Thing,Noun,0.922651
1161,thread,Clothing and grooming,Person/Thing,Noun,1
1162,intention,Cognition,Person/Thing,Noun,0.535045
1169,ox,Animals,Person/Thing,Noun,0.535425
1170,trap,Warfare and hunting,Action/Process,Verb,0.706452
1171,mirror,Clothing and grooming,Person/Thing,Noun,1
1174,yesterday,Time,Other,Function word,1
1175,ghost,Religion and belief,Person/Thing,Noun,0.799534
1178,nostril,The body,Person/Thing,Noun,1
1179,day after tomorrow,Time,Other,Function word,0.924735
1180,day before yesterday,Time,Other,Function word,0.930782
1185,vulture,Animals,Person/Thing,Noun,0.438111
1186,last,Time,Action/Process,Verb,0.381229
1187,goose,Animals,Person/Thing,Noun,0.784127
1188,charcoal,The physical world,Person/Thing,Noun,1
1208,cat,Animals,Person/Thing,Noun,1
1209,i,Kinship,Other,Function word,1
1212,we,Kinship,Other,Function word,0.486478
1213,you,Kinship,Other,Function word,1
1215,thou,Kinship,Other,Function word,1
1216,mother,Kinship,Person/Thing,Noun,1
1217,father,Kinship,Person/Thing,Noun,1
1218,rope,Basic actions and technology,Person/Thing,Noun,1
1220,tail,The body,Person/Thing,Noun,1
1222,penis,The body,Person/Thing,Noun,1
1223,heart,The body,Person/Thing,Noun,1
1231,new,Time,Property,Adjective,1
1234,smooth,Sense perception,Property,Adjective,1
1242,few,Quantity,Other,Function word,0.914384
1245,butter,Food and drink,Person/Thing,Noun,0.607122
1247,ear,The body,Person/Thing,Noun,1
1248,eye,The body,Person/Thing,Noun,1
1256,head,The body,Person/Thing,Noun,1
1257,wing,The body,Person/Thing,Noun,1
1262,brother,Kinship,Person/Thing,Noun,0.407712
1263,sister,Kinship,Person/Thing,Noun,0.458721
1264,change,Spatial relations,Action/Process,Verb,0.722958
1269,no,Cognition,Other,Function word,0.731738
1270,why,Cognition,Other,Function word,1
1272,aunt,Kinship,Person/Thing,Noun,0.295192
1273,candle,The house,Person/Thing,Noun,0.934594
1274,salt,Food and drink,Person/Thing,Noun,1
1275,answer,Speech and language,Action/Process,Verb,1
1276,autumn,Time,Person/Thing,Noun,0.427464
1278,vomit,The body,Action/Process,Verb,1
1281,prison,Law,Person/Thing,Noun,0.856422
1283,today,Time,Other,Function word,1
1289,baby,Kinship,Person/Thing,Noun,0.859286
1290,elephant,Animals,Person/Thing,Noun,0.518785
1296,walking stick,Modern world,Person/Thing,Noun,1
1302,fork,Food and drink,Person/Thing,Noun,0.750507
1305,chimney,The house,Person/Thing,Noun,0.405311
1306,queen,Social and political relations,Person/Thing,Noun,0.398815
1308,doubt,Cognition,Person/Thing,Noun,0.617648
1309,ask,Speech and language,Action/Process,Verb,1
1312,fox,Animals,Person/Thing,Noun,0.516917
1316,tent,The house,Person/Thing,Noun,0.430567
1318,chicken,Animals,Person/Thing,Noun,0.806851
1322,breakfast,Food and drink,Person/Thing,Noun,0.644956
1324,slip,Motion,Action/Process,Verb,1
1325,friend,Social and political relations,Person/Thing,Noun,1
1327,uncle,Kinship,Person/Thing,Noun,0.198828
1329,tomorrow,Time,Other,Function word,1
1330,defend,Warfare and hunting,Action/Process,Verb,0.736591
1331,sheep,Animals,Person/Thing,Noun,0.7414
1332,neighbour,Social and political relations,Person/Thing,Noun,0.738119
1337,pig,Animals,Person/Thing,Noun,1
1338,peace,Warfare and hunting,Person/Thing,Noun,0.562489
1339,morning,Time,Person/Thing,Noun,0.913191
1342,summer,Time,Person/Thing,Noun,0.660155
1343,sun,The physical world,Person/Thing,Noun,1
1344,ram,Animals,Person/Thing,Noun,0.456349
1345,ewe,Animals,Person/Thing,Noun,0.315937
1348,boar,Animals,Person/Thing,Noun,0.653533
1350,monkey,Animals,Person/Thing,Noun,0.697344
1351,sow,Animals,Person/Thing,Noun,0.386068
1357,daughter,Kinship,Person/Thing,Noun,0.916594
1358,enemy,Social and political relations,Person/Thing,Noun,0.909982
1360,duck,Animals,Person/Thing,Noun,0.719074
