concepticon_id	name	description	final_synset	synonym	wordnet_id	count	definition	same_synset	taxonomic_depth
101	boast	To show off.	v00883226	vaunt	v00883226	2.0	show off	same	6.0
102	common cold (disease)	A contagious, viral infectious disease of the upper respiratory system; common symptoms include cough, sore throat, runny nose, nasal congestion and sneezing.	n14145501	cold	a01251128	3077.0	having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration	different	11.0
107	omen	A sign that is supposed to reveal whether the future will be favourable or not.	n07286368	omen	n07286368	25.0	a sign of something about to happen	same	7.0
107	omen	A sign that is supposed to reveal whether the future will be favourable or not.	n07286368	portent	n07286368	28.0	a sign of something about to happen	same	7.0
107	omen	A sign that is supposed to reveal whether the future will be favourable or not.	n07286368	presage	v00871942	19.0	indicate by signs	different	7.0
107	omen	A sign that is supposed to reveal whether the future will be favourable or not.	n07286368	prodigy	n10479783	50.0	an unusually gifted or intelligent (young) person; someone whose talents excite wonder and admiration	different	7.0
107	omen	A sign that is supposed to reveal whether the future will be favourable or not.	n07286368	prognostic	s01883325	1.0	of or relating to prediction; having value for making predictions	different	7.0
107	omen	A sign that is supposed to reveal whether the future will be favourable or not.	n07286368	prognostication	n06748969	6.0	a statement made about the future	different	7.0
108	rudder	An underwater vane used to steer a vessel. The rudder is controlled by means of a wheel, tiller or other apparatus.	n03837422	oar	n03837422	95.0	an implement used to propel or steer a boat	same	7.0
112	turtle	A reptile of the order Testudines (the crown group of the superorder Chelonia), characterised by a special bony or cartilaginous shell developed from their ribs that acts as a shield.	n01662784	turtle	n01662784	246.0	any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming	same	12.0
113	shore	The margin or shore of a river, lake, or ocean.	n09433442	shore	n09433442	740.0	the land along the edge of a body of water	same	4.0
117	imitate	To follow as a model or a pattern.	v01742886	copy	n03104594	799.0	a thing made to be similar or identical to another thing	different	2.0
117	imitate	To follow as a model or a pattern.	v01742886	imitate	v01742886	133.0	reproduce someone's behavior or looks	same	2.0
117	imitate	To follow as a model or a pattern.	v01742886	simulate	v01722980	59.0	create a representation or model of	different	2.0
119	dive	To swim under water.	v01962671	dive	v01967373	254.0	drop steeply	different	2.0
121	spin	To make (yarn) by drawing out, twisting, and winding fibers.	v01518772	spin	v02046755	724.0	revolve quickly and repeatedly around one's own axis	different	3.0
122	cart	A two-wheeled vehicle, commonly without springs, drawn by mules, oxen, or the like, used for the conveyance of heavy goods.	n04543158	waggon	n04543158	1.0	any of various kinds of wheeled vehicles drawn by an animal or a tractor	same	8.0
122	cart	A two-wheeled vehicle, commonly without springs, drawn by mules, oxen, or the like, used for the conveyance of heavy goods.	n04543158	wagon	n04543158	547.0	any of various kinds of wheeled vehicles drawn by an animal or a tractor	same	8.0
123	forehead	The part of the face between the hairline and the eyebrows.	n05602548	brow	n05313535	354.0	the arch of hair above each eye	different	6.0
123	forehead	The part of the face between the hairline and the eyebrows.	n05602548	forehead	n05602548	1078.0	the part of the face above the eyes	same	6.0
126	sweat (perspire)	To secrete sweat.	v00067545	perspire	v00067545	30.0	excrete perspiration through the pores in the skin	same	2.0
126	sweat (perspire)	To secrete sweat.	v00067545	sudate				different	2.0
126	sweat (perspire)	To secrete sweat.	v00067545	sweat	n05405751	971.0	salty fluid secreted by sweat glands	different	2.0
127	extinguish	To make something stop burning.	v02761897	extinguish	v02761897	87.0	put out, as of fires, flames, or lights	same	0.0
127	extinguish	To make something stop burning.	v02761897	quench	v01204021	28.0	satisfy (thirst)	different	0.0
128	mumble	To speak unintelligibly and without articulating.	v01044533	maunder	v01036804	1.0	speak (about unimportant matters) rapidly and incessantly	different	4.0
128	mumble	To speak unintelligibly and without articulating.	v01044533	mumble	v01044533	280.0	talk indistinctly; usually in a low voice	same	4.0
128	mumble	To speak unintelligibly and without articulating.	v01044533	mussitate				different	4.0
128	mumble	To speak unintelligibly and without articulating.	v01044533	mutter	v01044533	555.0	talk indistinctly; usually in a low voice	same	4.0
129	choke	To squeeze the neck in order to compress the carotide and/or trachea, possibly leading to unconsciousness or death.	v00077950	choke	v00002724	337.0	breathe with great difficulty, as when experiencing a strong emotion	different	3.0
129	choke	To squeeze the neck in order to compress the carotide and/or trachea, possibly leading to unconsciousness or death.	v00077950	strangle	v01570935	163.0	kill by squeezing the throat of so as to cut off the air	different	3.0
133	weave	To create a fabric by interlacing threads.	v01673891	tissue	n05267345	492.0	part of an organism consisting of an aggregate of cells having a similar structure and function	different	2.0
133	weave	To create a fabric by interlacing threads.	v01673891	weave	v01518924	231.0	interlace by or as if by weaving	different	2.0
134	fault	Responsibility for a wrong act done deliberately or a good act omitted deliberately.	n04669692	fault	n04669692	686.0	responsibility for a bad situation or event	same	6.0
138	bathe	To clean oneself by immersion in water.	v00035603	bathe	v00035603	156.0	cleanse the entire body	same	5.0
139	gums	The mucosal tissue that partly lies over the teeth in the mouth.	n05304932	gingiva				different	7.0
139	gums	The mucosal tissue that partly lies over the teeth in the mouth.	n05304932	gum	n07599998	144.0	a preparation (usually made of sweetened chicle) for chewing	different	7.0
141	burn (something)	To cause to undergo fire combustion.	v00378042	burn	v00378664	922.0	destroy by fire	different	2.0
141	burn (something)	To cause to undergo fire combustion.	v00378042	incinerate	v00378361	33.0	become reduced to ashes	different	2.0
148	itch	An unpleasant sensation on the skin that provokes the desire to scratch.	n05723563	itch	n05723563	58.0	an irritating cutaneous sensation that produces a desire to scratch	same	9.0
148	itch	An unpleasant sensation on the skin that provokes the desire to scratch.	n05723563	itchiness	n05723563	4.0	an irritating cutaneous sensation that produces a desire to scratch	same	9.0
148	itch	An unpleasant sensation on the skin that provokes the desire to scratch.	n05723563	itching	n05723563	33.0	an irritating cutaneous sensation that produces a desire to scratch	same	9.0
151	razor	A bladed tool used for the removal of body hair through the act of shaving.	n04057047	razor	n04057047	246.0	edge tool used in shaving	same	11.0
154	udder	An organ in female quadruped mammals which consists of mammary glands and has several teats.	n02370360	bag	n02773037	2168.0	a flexible container with a single opening	different	9.0
154	udder	An organ in female quadruped mammals which consists of mammary glands and has several teats.	n02370360	udder	n02370360	16.0	mammary gland of bovids (cows and sheep and goats)	same	9.0
155	chop	To chop wood, or to chop meat, vegetables etc. into small pieces.	v01258091	chop	v01258091	715.0	cut into pieces	same	3.0
156	red	Having red as its colour.	a00381097	blood-red				different	0.0
