concepticon_id,glottocode,lex,concepticon_gloss,semantic_field,language,area,family
671,tzot1259,1,sand,The physical world,Tzotzil,North America,Mayan
671,kekc1242,1,sand,The physical world,Q'eqchi',North America,Mayan
671,mezq1235,1,sand,The physical world,Mezquital Otomi,North America,Otomanguean
671,sara1340,1,sand,The physical world,Saramaccan,South America,Indo-European
671,imba1240,1,sand,The physical world,Imbabura Highland Quichua,South America,Quechuan
671,gali1262,1,sand,The physical world,Galibi Carib,South America,Cariban
671,hupd1244,1,sand,The physical world,Hup,South America,Naduhup
671,wich1264,1,sand,The physical world,Güisnay,South America,Mataguayan
671,mapu1245,1,sand,The physical world,Mapudungun,South America,Araucanian
671,kett1243,1,sand,The physical world,Ket,Eurasia,Yeniseian
671,chew1245,1,sand,The physical world,Chewong,Eurasia,Austroasiatic
671,guri1247,1,sand,The physical world,Gurindji,Australia,Pama-Nyungan
2118,swah1253,1,mountain or hill,The physical world,Swahili,Africa,Atlantic-Congo
2118,iraq1241,1,mountain or hill,The physical world,Iraqw,Africa,Afro-Asiatic
2118,gaww1239,1,mountain or hill,The physical world,Ale-Gawwada,Africa,Afro-Asiatic
2118,haus1257,1,mountain or hill,The physical world,Hausa,Africa,Afro-Asiatic
2118,cent2050,1,mountain or hill,The physical world,Central Kanuri,Africa,Saharan
2118,tari1263,1,mountain or hill,The physical world,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Africa,Afro-Asiatic
2118,sese1246,1,mountain or hill,The physical world,Seselwa Creole French,Africa,Indo-European
2118,roma1327,1,mountain or hill,The physical world,Romanian,Eurasia,Indo-European
2118,west2376,1,mountain or hill,The physical world,West Slovakian Romani,Eurasia,Indo-European
2118,lowe1385,1,mountain or hill,The physical world,Lower Sorbian,Eurasia,Indo-European
2118,oldh1241,1,mountain or hill,The physical world,Old High German (ca. 750-1050),Eurasia,Indo-European
2118,dutc1256,1,mountain or hill,The physical world,Dutch,Eurasia,Indo-European
2118,stan1293,1,mountain or hill,The physical world,English,Eurasia,Indo-European
2118,kild1236,1,mountain or hill,The physical world,Kildin Saami,Eurasia,Uralic
2118,bezh1248,1,mountain or hill,The physical world,Bezhta,Eurasia,Nakh-Daghestanian
2118,arch1244,1,mountain or hill,The physical world,Archi,Eurasia,Nakh-Daghestanian
2118,mana1288,1,mountain or hill,The physical world,Manange,Eurasia,Sino-Tibetan
2118,yaku1245,1,mountain or hill,The physical world,Sakha,Eurasia,Turkic
2118,oroq1238,1,mountain or hill,The physical world,Oroqen,Eurasia,Tungusic
2118,nucl1643,1,mountain or hill,The physical world,Japanese,Eurasia,Japonic
2118,mand1415,1,mountain or hill,The physical world,Mandarin Chinese,Eurasia,Sino-Tibetan
2118,thai1261,1,mountain or hill,The physical world,Thai,Eurasia,Tai-Kadai
2118,viet1252,1,mountain or hill,The physical world,Vietnamese,Eurasia,Austroasiatic
2118,hmon1333,1,mountain or hill,The physical world,Hmong Daw,Eurasia,Hmong-Mien
2118,indo1316,1,mountain or hill,The physical world,Standard Indonesian,Papunesia,Austronesian
2118,plat1254,1,mountain or hill,The physical world,Plateau Malagasy,Africa,Austronesian
2118,taki1248,1,mountain or hill,The physical world,Takia,Papunesia,Austronesian
2118,hawa1245,1,mountain or hill,The physical world,Hawaiian,Papunesia,Austronesian
2118,yaqu1251,1,mountain or hill,The physical world,Yaqui,North America,Uto-Aztecan
2118,tzot1259,1,mountain or hill,The physical world,Tzotzil,North America,Mayan
2118,kekc1242,1,mountain or hill,The physical world,Q'eqchi',North America,Mayan
