original_word	lemmatized_word
Bromine	Bromine
Bronte	Bronte
Bronx	Bronx
Brooke	Brooke
Brooklyn	Brooklyn
Brooks	Brooks
Brougham	Brougham
Brown	Brown
Browning	Browning
Bruce	Bruce
Bruin	Bruin
Bruins	Bruins
Bruiser	Bruiser
Brunei	Brunei
Bruno	Bruno
Brussels	Brussels
Brutes	Brutes
Brutus	Brutus
Bryan	Bryan
Bs	Bs
Buckler	Buckler
Bud	Bud
Budapest	Budapest
Buddha	Buddha
Buddhism	Buddhism
Buddhist	Buddhist
Buddhists	Buddhists
Buffalo	Buffalo
Bugs	Bugs
Bulgaria	Bulgaria
Bullfinch	Bullfinch
Bullhead	Bullhead
Bullock	Bullock
Bum	Bum
Bumptious	Bumptious
Bunghole	Bunghole
Bunsen	Bunsen
Bunt	Bunt
Bunyan	Bunyan
Burdock	Burdock
Burger	Burger
Burgess	Burgess
Burgher	Burgher
Burglar	Burglar
Burglaries	Burglaries
Burgundy	Burgundy
Burk	Burk
Burke	Burke
Burl	Burl
Burma	Burma
Burns	Burns
Burnside	Burnside
Burp	Burp
Burr	Burr
Burroughs	Burroughs
Burrows	Burrows
Burt	Burt
Burton	Burton
Busby	Busby
Bush	Bush
Business	Business
Butte	Butte
Butterfingers	Butterfingers
Buzz	Buzz
Byrd	Byrd
Byron	Byron
CA	CA
CAB	CAB
CAD	CAD
CAN	CAN
CBC	CBC
CC	CC
CD	CD
CD-Rom	CD-Rom
CD-rom	CD-rom
CDC	CDC
CEO	CEO
CF	CF
CFC	CFC
CFO	CFO
CHARS	CHARS
CHATS	CHATS
CHI	CHI
CIA	CIA
CILIA	CILIA
CL	CL
CLOP	CLOP
CM	CM
CO2	CO2
COAT	COAT
COPS	COPS
COS	COS
COT	COT
CPA	CPA
CPR	CPR
CPU	CPU
CR	CR
CRT	CRT
CS	CS
CT	CT
CUD	CUD
CUT	CUT
CV	CV
Cabala	Cabala
Cabernet	Cabernet
Caboodle	Caboodle
Cabot	Cabot
Cacao	Cacao
Cacophony	Cacophony
Caesar	Caesar
Caffeine	Caffeine
Cage	Cage
Cain	Cain
Cairo	Cairo
Cajun	Cajun
Cake	Cake
Calais	Calais
Calculate	Calculate
Calcutta	Calcutta
Calderon	Calderon
Caledonia	Caledonia
Calgary	Calgary
Calif	Calif
California	California
Californians	Californians
Caligula	Caligula
Calli	Calli
Calligraphy	Calligraphy
Callous	Callous
Calumet	Calumet
Calvados	Calvados
Calvary	Calvary
Calvin	Calvin
Calvinism	Calvinism
Cam	Cam
Cambodia	Cambodia
Cambrian	Cambrian
Cambridge	Cambridge
Camden	Camden
Camelot	Camelot
Cameroon	Cameroon
Camouflage	Camouflage
Campbell	Campbell
Campion	Campion
Camus	Camus
Can	Can
Canada	Canada
Canadian	Canadian
Canberra	Canberra
Cancer	Cancer
Cancun	Cancun
Candela	Candela
Candor	Candor
Cannabis	Cannabis
Cannes	Cannes
Cannisters	Cannisters
Canopus	Canopus
Canter	Canter
Canterbury	Canterbury
Cantonese	Cantonese
Cantor	Cantor
Capable	Capable
Capella	Capella
Capitol	Capitol
Capone	Capone
Capote	Capote
Cappuccino	Cappuccino
Capri	Capri
Caprice	Caprice
Capricorn	Capricorn
Captain	Captain
Captor	Captor
Caracas	Caracas
Cardiff	Cardiff
Cardigans	Cardigans
Cared	Cared
Caretaker	Caretaker
Carib	Carib
Caribbean	Caribbean
Caries	Caries
Carlos	Carlos
Carlyle	Carlyle
Carnation	Carnation
